Millis,Load_Cell,Linear_Pot (scaled),Velocity,Thermocouple
1996,0.01,6.558,-0.726
2008,0.03,6.566,0.605
2018,0.03,6.566,0.000
2029,0.01,6.566,0.000
2039,0.00,6.566,0.000
2051,-0.00,6.566,0.000
2062,-0.00,6.566,0.000
2072,-0.00,6.573,0.726
2083,-0.01,6.566,-0.660
2094,-0.00,6.566,0.000
2105,0.01,6.566,0.000
2115,0.01,6.566,0.000
2126,0.00,6.566,0.000
2138,0.01,6.566,0.000
2148,0.02,6.566,0.000
2159,0.02,6.566,0.000
2169,0.01,6.566,0.000
2181,0.01,6.573,0.605
2191,0.00,6.558,-1.453
2202,-0.00,6.566,0.660
2212,-0.00,6.566,0.000
2224,-0.01,6.566,0.000
2235,-0.01,6.566,0.000
2245,-0.02,6.566,0.000
2256,-0.00,6.566,0.000
2267,0.01,6.566,0.000
2278,0.00,6.566,0.000
2288,0.03,6.566,0.000
2299,0.01,6.566,0.000
2310,0.02,6.566,0.000
2321,-0.00,6.566,0.000
2332,-0.01,6.566,0.000
2342,0.00,6.566,0.000
2354,0.01,6.566,0.000
2364,0.02,6.558,-0.726
2375,0.01,6.558,0.000
2385,0.01,6.566,0.726
2397,0.01,6.566,0.000
2408,0.00,6.566,0.000
2418,0.02,6.558,-0.726
2429,-0.01,6.573,1.321
2440,-0.00,6.566,-0.660
2451,-0.01,6.566,0.000
2461,-0.03,6.566,0.000
2472,-0.02,6.558,-0.660
2483,-0.01,6.566,0.660
2494,0.02,6.566,0.000
2505,-0.01,6.566,0.000
2515,-0.03,6.566,0.000
2527,-0.02,6.566,0.000
2537,0.02,6.566,0.000
2548,0.01,6.566,0.000
2558,0.02,6.566,0.000
2570,0.02,6.558,-0.605
2580,0.02,6.558,0.000
2591,0.01,6.566,0.660
2603,0.03,6.566,0.000
2613,0.04,6.566,0.000
2624,0.01,6.566,0.000
2634,0.00,6.573,0.726
2646,0.01,6.566,-0.605
2656,0.04,6.566,0.000
2667,0.07,6.573,0.660
2678,0.43,6.573,0.000
2689,1.33,6.580,0.660
2700,2.11,6.595,1.321
2710,2.54,6.609,1.453
2721,3.10,6.624,1.321
2732,3.56,6.631,0.660
2743,3.99,6.653,1.981
2753,4.50,6.675,2.179
2764,5.19,6.696,1.981
2776,6.55,6.725,2.421
2786,8.63,6.747,2.179
2797,9.52,6.791,3.962
2807,9.89,6.805,1.453
2819,10.13,6.834,2.421
2829,10.27,6.856,2.179
2840,10.43,6.900,3.962
2851,10.57,6.929,2.641
2862,10.54,6.951,1.981
2873,10.44,6.987,3.301
2883,10.43,7.016,2.905
2894,10.32,7.045,2.641
2905,10.08,7.074,2.641
2916,9.73,7.096,1.981
2926,9.38,7.118,2.179
2937,9.00,7.139,1.981
2949,8.33,7.154,1.210
2959,7.60,7.169,1.453
2970,6.74,7.169,0.000
2980,5.45,7.169,0.000
2992,3.62,7.169,0.000
3002,1.75,7.161,-0.726
3013,0.59,7.147,-1.321
3023,-0.57,7.118,-2.905
3035,-2.07,7.096,-1.816
3046,-2.75,7.052,-3.962
3056,-3.98,7.001,-5.084
3067,-5.04,6.943,-5.282
3078,-5.60,6.885,-5.282
3089,-6.10,6.820,-5.942
3099,-6.68,6.747,-7.263
3110,-7.71,6.646,-9.244
3122,-9.17,6.537,-9.079
3132,-10.53,6.420,-11.621
3143,-11.49,6.297,-11.225
3153,-12.58,6.152,-14.526
3165,-13.98,5.999,-12.710
3175,-15.31,5.847,-15.252
3186,-16.48,5.665,-16.507
3196,-17.73,5.491,-17.431
3208,-18.99,5.302,-15.736
3219,-20.12,5.099,-18.488
