Millis,Load_Cell,Linear_Pot (scaled),Velocity,Thermocouple
2435,0.07,6.951,0,
2445,0.03,6.951,0,
2456,0.01,6.951,0,
2467,0,6.951,0,
2478,0.02,6.958,0.66,
2489,0.03,6.951,-0.66,
2499,0.01,6.943,-0.726,
2510,0.03,6.951,0.66,
2521,0.04,6.951,0,
2532,0.02,6.958,0.66,
2542,0.01,6.958,0,
2553,0.03,6.951,-0.66,
2565,0.01,6.951,0,
2575,0,6.951,0,
2586,-0.01,6.951,0,
2596,0.01,6.951,0,
2608,0,6.951,0,
2618,0.01,6.951,0,
2629,0,6.958,0.66,
2639,0.01,6.958,0,
2651,0.02,6.943,-1.21,
2661,0,6.951,0.726,
2672,0,6.951,0,
2683,0,6.951,0,
2694,-0.01,6.951,0,
2705,0.03,6.958,0.66,
2715,0.02,6.951,-0.726,
2726,0,6.951,0,
2737,0.01,6.943,-0.66,
2748,0.02,6.958,1.321,
2758,0.01,6.951,-0.726,
2769,0.01,6.958,0.66,
2781,0.01,6.951,-0.605,
2791,0,6.951,0,
2802,0.02,6.951,0,
2812,0,6.951,0,
2824,-0.02,6.951,0,
2834,0.01,6.958,0.726,
2845,0.02,6.951,-0.66,
2855,-0.02,6.951,0,
2867,-0.02,6.958,0.605,
2878,0,6.951,-0.66,
2888,0.01,6.958,0.726,
2899,-0.02,6.951,-0.66,
2910,-0.01,6.958,0.66,
2921,0.01,6.951,-0.66,
2931,0.02,6.951,0,
2942,0.01,6.951,0,
2953,0.01,6.951,0,
2964,-0.01,6.951,0,
2974,0,6.958,0.726,
2985,0.01,6.951,-0.66,
2997,-0.01,6.951,0,
3007,0.27,6.951,0,
3018,0.81,6.958,0.66,
3028,0.94,6.951,-0.726,
3040,0.99,6.951,0,
3050,1.64,6.951,0,
3061,1.79,6.958,0.66,
3072,1.67,6.958,0,
3083,2.13,6.965,0.66,
3094,3.57,6.965,0,
3104,4.67,6.943,-2.179,
3116,4.74,6.972,2.421,
3126,4.74,6.972,0,
3137,4.94,6.987,1.321,
3147,5.21,6.987,0,
3159,5.45,6.994,0.605,
3169,6.01,7.001,0.726,
3180,6.13,6.994,-0.66,
3190,6.27,7.016,2.179,
3202,6.45,7.023,0.605,
3213,6.71,7.009,-1.321,
3223,7.07,7.038,2.905,
3234,7.15,7.06,1.981,
3245,7.27,7.06,0,
3256,7.32,7.067,0.66,
3266,7.13,7.081,1.453,
3277,7.12,7.089,0.66,
3288,7.2,7.43,31.033,
3299,7.32,7.103,-29.712,
3310,7.37,7.118,1.321,
3320,7.26,7.125,0.726,
3332,7.12,7.139,1.21,
3342,7.12,7.147,0.726,
3353,7.15,6.951,-17.827,
3363,6.85,7.161,21.063,
3375,6.69,7.263,8.473,
3385,6.35,7.161,-10.168,
3396,6.07,7.176,1.321,
3407,5.92,7.176,0,
3418,5.29,7.183,0.66,
3429,4.58,7.198,1.321,
3439,3.89,7.183,-1.453,
3450,3.15,7.198,1.321,
3461,2.58,7.183,-1.321,
3472,1.98,7.19,0.66,
3482,1.65,7.183,-0.726,
3493,1.14,7.169,-1.321,
3505,0.43,7.169,0,
3515,-0.38,7.212,4.358,
3526,-1.1,7.198,-1.321,
3536,-1.4,7.139,-5.81,
3548,-1.55,7.125,-1.21,
3558,-1.92,7.103,-2.179,
3569,-2,7.081,-1.981,
3579,-2.12,7.06,-2.179,
3591,-2.3,7.038,-1.816,
3601,-2.35,7.401,36.315,
3612,-2.7,6.972,-38.956,
3623,-3.07,6.943,-2.641,
3634,-3.16,6.885,-5.282,
3645,-3.1,6.856,-2.641,
3655,-3.34,6.834,-2.179,
3666,-3.59,6.791,-3.962,
3677,-3.76,6.755,-3.301,
3688,-3.85,6.711,-3.962,
3698,-4.07,6.631,-7.989,
3709,-4.36,6.624,-0.66,
3721,-4.46,6.566,-4.842,
3731,-4.55,6.537,-2.905,
3742,-4.68,6.493,-3.962,
3752,-4.77,6.413,-7.989,
3764,-4.84,6.37,-3.631,
3774,-5.1,6.304,-6.537,
3785,-5.19,6.275,-2.641,
3795,-5.3,6.188,-8.716,
3807,-5.56,6.115,-6.052,
3818,-5.59,6.065,-4.622,
3828,-5.65,5.992,-7.263,
3840,-5.95,5.934,-4.842,
3850,-6.08,5.832,-10.168,
3861,-6.09,5.781,-4.622,
3871,-6.22,5.723,-5.81,
3883,-6.27,5.636,-7.263,
3893,-6.36,5.571,-6.537,
3904,-6.35,5.498,-6.603,
3914,-6.42,5.462,-3.631,
3926,-6.62,5.389,-6.052,
3937,-6.66,5.316,-6.603,
3947,-6.58,5.208,-10.894,
3958,-6.62,5.135,-6.603,
3969,-6.71,5.048,-7.923,
3980,-6.74,4.997,-4.622,
3990,-6.91,4.866,-13.073,
