Millis,Load_Cell,Linear_Pot (scaled),Smoothed_Velocity,Velocity,Highpass_Velocity,Thermocouple
1739,0.01,1.656,-0.047,0,0,
1751,0.01,1.656,-0.034,0,0,
1762,0,1.656,-0.027,0,0,
1772,-0.01,1.656,0,0,0,
1783,0,1.656,0,0,0,
1794,0.01,1.656,0,0,0,
1805,0,1.656,0,0,0,
1815,0.02,1.656,0,0,0,
1826,0.02,1.663,0.307,0.66,0.66,
1837,0,1.656,-0.132,-0.66,-0.66,
1848,0,1.656,-0.066,0,0,
1859,0.01,1.656,-0.044,0,0,
1869,0.02,1.656,-0.034,0,0,
1881,0,1.656,-0.026,0,0,
1891,-0.01,1.656,0,0,0,
1902,-0.01,1.656,0,0,0,
1912,-0.01,1.656,0,0,0,
1924,-0.02,1.663,0.291,0.605,0.605,
1934,-0.02,1.656,-0.145,-0.726,-0.726,
1945,-0.01,1.656,-0.069,0,0,
1956,0.03,1.663,0.258,0.66,0.66,
1967,0.02,1.656,-0.166,-0.66,-0.66,
1978,-0.01,1.656,-0.093,0,0,
1988,0,1.656,-0.045,0,0,
1999,-0.16,1.656,-0.034,0,0,
2010,-0.55,1.656,-0.027,0,0,
2021,-0.88,1.649,-0.303,-0.66,-0.66,
2032,-1.05,1.663,0.434,1.321,1.321,
2042,-0.92,1.649,-0.397,-1.453,-1.453,
2054,-0.7,1.641,-0.482,-0.605,-0.605,
2064,-0.73,1.641,-0.29,0,0,
2075,-0.96,1.634,-0.478,-0.66,-0.66,
2085,-1.09,1.634,-0.293,0,0,
2097,-1.17,1.627,-0.422,-0.605,-0.605,
2107,-1.3,1.62,-0.552,-0.726,-0.726,
2118,-1.33,1.612,-0.611,-0.66,-0.66,
2129,-1.34,1.605,-0.64,-0.66,-0.66,
2140,-1.33,1.598,-0.663,-0.66,-0.66,
2151,-1.3,1.591,-0.663,-0.66,-0.66,
2161,-1.24,1.583,-0.689,-0.726,-0.726,
2172,-1.14,1.583,-0.369,0,0,
2183,-1.03,1.576,-0.498,-0.66,-0.66,
2194,-0.88,1.576,-0.258,0,0,
2204,-0.74,1.569,-0.455,-0.726,-0.726,
2215,-0.44,1.569,-0.236,0,0,
2227,0.19,1.569,-0.13,0,0,
2237,0.69,1.569,-0.061,0,0,
2248,0.87,1.576,0.278,0.66,0.66,
2258,1.46,1.583,0.499,0.726,0.726,
2270,2.22,1.598,0.857,1.21,1.21,
2280,2.68,1.62,1.467,2.179,2.179,
2291,2.93,1.634,1.43,1.321,1.321,
2302,3,1.663,2.019,2.641,2.641,
2313,3.02,1.7,2.634,3.301,3.301,
2324,3.17,1.736,2.976,3.301,3.301,
2334,3.34,1.779,3.626,4.358,4.358,
2345,3.51,1.816,3.529,3.301,3.301,
2356,3.75,1.888,4.976,6.603,6.603,
2367,4.13,1.954,5.454,5.942,5.942,
2377,4.59,2.019,6.007,6.537,6.537,
2388,5.17,2.099,6.653,7.263,7.263,
2400,5.94,2.186,7.014,7.263,7.263,
2410,6.85,2.281,8.096,9.442,9.442,
2421,8.11,2.382,8.671,9.244,9.244,
2432,9.83,2.491,9.302,9.904,9.904,
2443,12.74,2.607,9.949,10.564,10.564,
2453,20.28,2.731,11.081,12.347,12.347,
2464,28.04,2.869,11.802,12.545,12.545,
2476,31.17,3.014,12.024,12.105,12.105,
2486,33.59,3.159,13.185,14.526,14.526,
2497,35.51,3.319,13.85,14.526,14.526,
2507,38.11,3.486,15.168,16.705,16.705,
2519,40.29,3.653,14.64,13.921,13.921,
2529,42.61,3.835,16.262,18.157,18.157,
2540,44.6,4.002,15.779,15.186,15.186,
2551,46.77,4.213,17.368,19.148,19.148,
2562,48.25,4.394,17.003,16.507,16.507,
2573,49.82,4.597,17.77,18.488,18.488,
2583,50.75,4.801,18.911,20.336,20.336,
2594,51.48,4.997,18.471,17.827,17.827,
