Millis,Load_Cell,Linear_Pot (scaled),Thermocouple
13038,0.02,6.769,
13048,0.01,6.776,
13060,0.02,6.769,
13070,0.02,6.769,
13081,0.01,6.769,
13091,0.01,6.776,
13103,0,6.769,
13113,0,6.776,
13124,0,6.769,
13134,0,6.776,
13146,0.02,6.776,
13157,0,6.776,
13167,0,6.776,
13178,0,6.776,
13189,0.01,6.769,
13200,0.01,6.776,
13210,0.02,6.769,
13221,0,6.769,
13232,0.01,6.776,
13243,0.03,6.769,
13254,0.02,6.776,
13264,0,6.776,
13276,0.03,6.769,
13286,0.03,6.769,
13297,0,6.769,
13307,0,6.769,
13319,0,6.769,
13329,0,6.769,
13340,0.01,6.776,
13351,0.02,6.769,
13362,0.01,6.769,
13373,0.01,6.776,
13383,0.01,6.769,
13394,0.01,6.769,
13405,0,6.776,
13416,-0.01,6.769,
13426,0,6.776,
13437,0.01,6.769,
13448,0.03,6.776,
13459,0.01,6.776,
13470,0.02,6.769,
13480,0.02,6.769,
13492,0.02,6.769,
13502,0.01,6.769,
13513,0.02,6.769,
13523,0.01,6.769,
13535,0.03,6.769,
13545,0.03,6.769,
13556,0,6.769,
13568,0.02,6.776,
13578,0.03,6.776,
13589,0.03,6.769,
13599,0.01,6.776,
13611,0,6.769,
13621,0.01,6.784,
13632,0,6.776,
13642,0,6.769,
13654,0.01,6.776,
13665,0.02,6.769,
13675,0.01,6.769,
13686,0.01,6.769,
13697,0.01,6.776,
13708,0.02,6.769,
13718,0.01,6.769,
13729,0.01,6.776,
13740,0.01,6.776,
13751,0.02,6.769,
13762,0.03,6.776,
13772,0.04,6.776,
13784,0.03,6.769,
13794,0.02,6.769,
13805,0.04,6.769,
13815,0.04,6.776,
13827,0.03,6.776,
13837,0.01,6.769,
13848,0.01,6.769,
13858,0.02,6.762,
13870,0.01,6.776,
13881,0.02,6.769,
13891,0.03,6.769,
13902,0.04,6.769,
13913,0.01,6.776,
13924,0,6.776,
13934,0.02,6.776,
13945,0,6.769,
13956,0.01,6.769,
13967,0.02,6.776,
13978,0.01,6.769,
13988,0.01,6.769,
14000,0,6.769,
14010,0.02,6.769,
14021,0.02,6.769,
14031,0.02,6.769,
14043,0.01,6.769,
14053,0.02,6.762,
14064,0.03,6.769,
14075,0,6.769,
14086,-0.01,6.776,
14097,-0.01,6.769,
14107,-0.01,6.769,
14118,-0.02,6.769,
14129,0,6.784,
14140,0.02,6.769,
14150,-0.01,6.769,
14161,0.01,6.769,
14172,0.02,6.769,
14183,0.01,6.769,
14194,-0.01,6.769,
14204,0.01,6.776,
14216,0.02,6.776,
14226,0.01,6.769,
14237,0,6.769,
14247,0.02,6.776,
14259,0.03,6.769,
14269,0.01,6.769,
14280,0.02,6.769,
14291,0.04,6.769,
14302,0.01,6.769,
14313,0,6.776,
14323,0,6.769,
14334,0.01,6.776,
14345,0.01,6.769,
14356,0.01,6.755,
14366,0.04,6.769,
14377,0.03,6.784,
14389,0.02,6.776,
14399,0.01,6.776,
14410,0.02,6.769,
14420,0.04,6.776,
14432,0.04,6.769,
14442,0.04,6.776,
14453,0.02,6.776,
14464,0.01,6.769,
14475,0.01,6.769,
14486,0.03,6.776,
14496,0.02,6.776,
14508,0,6.769,
14518,0,6.776,
14529,0,6.776,
14539,0.02,6.776,
14551,0.04,6.776,
14561,0.02,6.776,
14572,0,6.769,
14582,0.02,6.769,
14594,0.01,6.769,
14605,0.01,6.769,
14615,0.01,6.769,
14626,0.03,6.769,
14637,0.02,6.776,
14648,0.02,6.769,
14658,0,6.776,
14669,0.01,6.776,
14680,0.02,6.769,
14691,0.01,6.776,
14702,-0.02,6.776,
14712,-0.02,6.776,
14724,0.02,6.769,
14734,0.01,6.769,
14745,0.01,6.769,
14755,0,6.776,
14767,0,6.769,
14777,0,6.769,
14788,0,6.769,
14799,0.01,6.769,
14810,-0.17,6.776,
14821,-1.01,6.769,
14831,-1.96,6.769,
14842,-2.16,6.762,
14853,-1.93,6.762,
14864,-1.91,6.755,
14874,-1.86,6.755,
14885,-1.81,6.747,
14897,-1.74,6.74,
14907,-1.67,6.733,
14918,-1.72,6.725,
14928,-1.78,6.718,
14940,-1.84,6.704,
14950,-1.95,6.696,
14961,-2.03,6.696,
14971,-2.13,6.675,
14983,-2.21,6.66,
14994,-2.32,6.646,
15004,-2.43,6.66,
15015,-2.57,6.617,
15026,-2.71,6.595,
15037,-2.84,6.58,
15047,-2.94,6.558,
15058,-3.05,6.537,
15069,-3.17,6.515,
15080,-3.31,6.493,
15090,-3.51,6.464,
15101,-3.71,6.435,
15113,-3.84,6.406,
15123,-3.9,6.384,
15134,-3.96,6.348,
15144,-3.74,6.094,
15156,-3.84,6.282,
15166,-4.3,6.246,
15177,-4.46,6.203,
15187,-4.66,6.174,
15199,-4.81,6.13,
15210,-4.95,6.094,
15220,-5.07,6.043,
15232,-5.2,5.999,
15242,-5.38,5.948,
15253,-5.52,5.898,
15263,-5.71,5.847,
15275,-5.9,5.796,
15285,-6.03,5.738,
15296,-6.14,5.672,
15307,-6.29,5.622,
15318,-6.47,5.556,
15329,-6.67,5.498,
15339,-6.88,5.425,
15350,-7.05,5.353,
15361,-7.2,5.287,
15372,-7.31,5.208,
15382,-7.41,5.142,
15393,-7.48,5.062,
15405,-7.54,4.99,
15415,-7.56,4.917,
15426,-7.57,4.837,
15436,-7.61,4.764,
15448,-7.61,4.685,
15458,-7.61,4.612,
15469,-7.63,4.539,
15479,-7.7,4.467,
15491,-7.53,4.351,
15501,-7.17,4.307,
15512,-7.59,4.234,
15523,-7.59,4.154,
15534,-7.15,4.082,
15545,-7.55,4.002,
15555,-7.87,3.922,
15566,-7.91,3.849,
15577,-7.92,3.762,
15588,-7.94,3.682,
15598,-7.92,3.61,
15609,-7.86,3.53,
15621,-7.79,3.457,
15631,-7.72,3.377,
15642,-7.66,3.312,
15652,-7.61,3.239,
15664,-7.57,3.167,
15674,-7.5,3.094,
15685,-7.42,3.029,
15695,-7.37,2.956,
15707,-7.32,2.883,
15718,-7.26,2.869,
15728,-7.25,2.753,
15739,-7.22,2.687,
15750,-7.11,2.622,
15761,-6.97,2.557,
15771,-6.75,2.498,
15782,-6.5,2.433,
15793,-6.35,2.382,
15804,-6.41,2.324,
15815,-6.38,2.273,
15825,-6.17,2.215,
15837,-6.13,2.164,
15847,-5.99,2.121,
15858,-5.88,2.019,
15868,-5.8,2.026,
15880,-5.63,1.976,
15890,-5.43,1.939,
15901,-5.3,1.903,
15912,-5.2,1.867,
15923,-5.04,1.83,
15934,-4.84,1.801,
15944,-4.65,1.765,
15955,-4.52,1.736,
15966,-4.37,1.714,
15977,-4.18,1.7,
15987,-3.98,1.663,
15998,-3.76,1.649,
16010,-3.54,1.627,
16020,-3.25,1.612,
16031,-3.03,1.598,
16041,-2.76,1.576,
16041,Switched from 1 to 0,,
16053,-2.44,1.583,
16063,-2.13,1.576,
16074,-1.86,1.576,
16084,-1.38,1.569,
16096,-0.59,1.576,
16107,0,1.576,
16117,0.13,1.576,
16129,0.46,1.598,
16139,1.13,1.598,
16150,1.56,1.605,
16160,1.75,1.612,
16172,1.8,1.627,
16182,1.81,1.634,
16193,1.82,1.649,
16204,1.84,1.663,
16215,1.86,1.67,
16226,1.86,1.692,
16236,1.87,1.7,
16247,1.92,1.714,
16258,1.95,1.721,
16269,2,1.736,
16279,2.01,1.75,
16290,2.06,1.758,
16301,2.12,1.772,
16312,2.14,1.787,
16323,2.16,1.794,
16333,2.2,1.801,
16345,2.22,1.816,
16355,2.25,1.823,
16366,2.29,1.83,
16376,2.3,1.838,
16388,2.32,1.845,
16398,2.35,1.852,
16409,2.38,1.859,
16420,2.43,1.859,
16431,2.45,1.867,
16442,2.49,1.867,
16452,2.51,1.867,
16463,2.53,1.874,
16474,2.54,1.874,
16485,2.54,1.874,
16495,2.55,1.874,
16506,2.46,1.874,
16518,2.26,1.874,
16528,2.05,1.874,
16539,1.91,1.874,
16549,1.82,1.874,
16561,1.78,1.874,
16571,1.75,1.874,
16582,1.73,1.874,
16592,1.72,1.874,
16604,1.72,1.874,
16615,1.73,1.874,
16625,1.71,1.874,
16636,1.71,1.874,
16647,1.71,1.874,
16658,1.68,1.874,
16668,1.66,1.874,
16679,1.67,1.874,
16690,1.65,1.874,
16701,1.64,1.874,
16712,1.62,1.874,
16722,1.61,1.874,
16734,1.61,1.874,
16744,1.57,1.874,
16755,1.55,1.874,
16765,1.5,1.874,
16777,1.47,1.874,
16787,1.42,1.874,
16798,1.32,1.874,
16808,1.23,1.874,
16820,1.13,1.874,
16831,1.07,1.874,
16841,1.07,1.874,
16852,1.09,1.867,
16863,1.09,1.874,
16874,1.1,1.874,
16884,1.09,1.874,
16896,1.09,1.874,
16906,1.09,1.874,
16917,1.08,1.874,
16928,1.1,1.874,
16939,1.1,1.874,
16950,1.11,1.874,
16960,1.11,1.874,
16971,1.11,1.874,
16982,1.09,1.874,
16993,1.09,1.874,
17003,1.07,1.874,
17014,1.09,1.874,
17026,1.1,1.874,
17036,1.06,1.874,
17047,1.06,1.874,
17057,1.08,1.874,
17069,1.08,1.874,
17079,1.06,1.874,
17090,1.08,1.874,
17100,1.08,1.874,
17112,1.07,1.874,
17123,1.05,1.874,
17133,1.06,1.874,
17144,1.06,1.874,
17155,1.07,1.874,
17166,1.06,1.874,
17176,1.06,1.874,
17187,1.07,1.874,
17198,1.06,1.874,
17209,1.06,1.874,
17219,1.05,1.874,
17230,1.06,1.874,
17242,1.06,1.874,
17252,1.06,1.874,
17263,1.06,1.874,
17273,1.04,1.874,
17285,1.04,1.881,
17295,1.07,1.874,
17306,1.05,1.874,
17316,1.06,1.874,
17328,1.07,1.874,
17339,1.06,1.874,
17349,1.04,1.874,
17360,1.05,1.874,
17371,1.05,1.874,
17382,1.04,1.874,
17392,1.03,1.874,
17403,1.03,1.874,
17414,1.02,1.874,
17425,1.02,1.874,
17436,1.01,1.874,
17446,1.02,1.874,
17458,1.03,1.874,
17468,1.03,1.874,
17479,1,1.874,
17489,0.98,1.874,
17501,0.99,1.874,
17511,1,1.874,
17522,0.99,1.874,
17533,1,1.874,
17544,1.01,1.874,
17555,1,1.874,
17565,0.99,1.874,
17576,1.01,1.874,
17587,1.01,1.874,
17598,1,1.874,
17608,0.96,1.874,
17619,0.93,1.874,
17631,0.9,1.874,
17641,0.87,1.881,
17652,0.84,1.874,
17662,0.82,1.874,
17674,0.8,1.874,
17684,0.76,1.874,
17695,0.75,1.874,
17705,0.75,1.874,
17717,0.72,1.874,
17728,0.72,1.874,
17738,0.72,1.874,
17750,0.71,1.874,
17760,0.7,1.874,
17771,0.71,1.874,
17781,0.72,1.874,
17793,0.73,1.874,
17803,0.7,1.874,
17814,0.68,1.874,
17825,0.68,1.874,
17836,0.68,1.874,
17847,0.69,1.874,
17857,0.69,1.874,
17868,0.67,1.874,
17879,0.66,1.874,
17890,0.66,1.874,
17900,0.67,1.874,
17911,0.67,1.874,
17923,0.68,1.881,
17933,0.66,1.874,
17944,0.67,1.874,
17954,0.67,1.874,
17966,0.68,1.874,
17976,0.67,1.874,
17987,0.66,1.874,
17997,0.65,1.874,
18009,0.66,1.874,
18020,0.65,1.874,
18030,0.66,1.874,
18041,0.64,1.874,
18052,0.63,1.874,
18063,0.66,1.874,
18073,0.66,1.874,
18084,0.63,1.874,
18095,0.61,1.874,
18106,0.61,1.874,
18116,0.62,1.874,
18127,0.62,1.874,
18139,0.64,1.874,
18149,0.62,1.874,
18160,0.61,1.874,
18170,0.61,1.874,
18182,0.63,1.874,
18192,0.63,1.874,
18203,0.61,1.874,
18213,0.61,1.874,
18225,0.63,1.874,
18236,0.63,1.874,
18246,0.61,1.881,
18257,0.6,1.874,
18268,0.61,1.874,
18279,0.62,1.874,
18289,0.6,1.874,
18300,0.61,1.874,
18311,0.6,1.874,
18322,0.61,1.874,
18333,0.59,1.874,
18343,0.59,1.874,
18355,0.59,1.874,
18365,0.57,1.874,
18376,0.58,1.874,
18386,0.6,1.874,
18398,0.62,1.874,
18408,0.61,1.874,
18419,0.59,1.874,
18430,0.59,1.874,
18441,0.6,1.874,
18452,0.6,1.874,
18462,0.62,1.874,
18473,0.61,1.874,
18484,0.59,1.874,
18495,0.6,1.874,
18505,0.62,1.874,
18516,0.61,1.874,
18528,0.59,1.874,
18538,0.59,1.874,
18549,0.58,1.874,
18560,0.61,1.874,
18571,0.63,1.874,
18581,0.61,1.874,
18592,0.59,1.874,
18603,0.59,1.874,
18614,0.59,1.874,
18624,0.59,1.874,
18624,Switched from 0 to 1,,
18635,0.57,1.874,
18647,0.58,1.874,
18657,0.6,1.874,
18668,0.6,1.874,
18678,0.59,1.874,
18690,0.64,1.874,
18700,0.87,1.874,
18711,1.03,1.874,
18721,1.02,1.881,
18733,1.06,1.881,
18744,1.23,1.881,
18754,1.36,1.888,
18765,1.46,1.888,
18776,1.52,1.896,
18787,1.56,1.896,
18797,1.62,1.903,
18808,1.68,1.91,
18819,1.71,1.961,
18830,1.74,1.925,
18841,1.79,1.939,
18851,1.81,1.946,
18863,1.84,1.954,
18873,1.88,1.968,
18884,1.93,1.983,
18894,1.98,1.997,
18906,2.02,2.019,
18916,2.07,2.034,
18927,2.17,2.048,
18938,2.21,2.07,
18949,2.26,2.084,
18960,2.33,2.106,
18970,2.44,2.128,
18981,2.54,2.157,
18992,2.64,2.208,
19003,2.75,2.208,
19013,2.88,2.237,
19024,3,2.273,
19035,3.09,2.302,
19046,3.19,2.339,
19057,3.3,2.375,
19067,3.4,2.419,
19079,3.54,2.455,
19089,3.7,2.498,
19100,3.93,2.542,
19110,4.17,2.593,
19122,4.49,2.644,
19132,4.93,2.695,
19143,5.56,2.76,
19154,6.39,2.796,
19165,8.21,2.854,
19176,12.68,2.912,
19186,15.18,2.978,
19197,15.93,3.05,
19208,16.18,3.116,
19219,16.38,3.196,
19229,17.11,3.261,
19240,17.33,3.341,
19252,17.52,3.421,
19262,17.58,3.493,
19273,17.62,3.573,
19283,17.84,3.653,
19295,18.03,3.733,
19305,18.04,3.813,
19316,17.95,3.893,
19326,18.13,3.973,
19338,18.37,4.053,
19349,18.37,4.14,
19359,18.26,4.213,
19371,18.38,4.3,
19381,18.51,4.387,
19392,18.56,4.467,
19402,18.39,4.547,
19414,18.29,4.605,
19424,18.43,4.706,
19435,18.41,4.794,
19446,18.17,4.873,
19457,17.96,4.946,
19468,17.99,5.026,
19478,18.07,5.091,
19489,17.95,5.186,
19500,17.78,5.258,
19511,17.73,5.338,
19521,17.7,5.418,
19532,17.55,5.491,
19544,17.23,5.563,
19554,17.06,5.636,
19565,16.99,5.709,
19575,16.86,5.781,
19587,16.61,5.81,
19597,16.28,5.912,
19608,16.14,5.977,
19618,16.13,6.043,
19630,15.95,6.108,
19640,15.6,6.166,
19651,15.41,6.224,
19662,15.35,6.282,
19673,15.21,6.341,
19684,14.87,6.391,
19694,14.57,6.45,
19705,14.36,6.508,
19716,14.2,6.551,
19727,13.98,6.602,
19737,13.63,6.653,
19748,13.28,6.696,
19760,13.12,6.74,
19770,12.95,6.784,
19781,12.66,6.82,
19791,12.39,6.863,
19803,12.16,6.893,
19813,11.87,6.929,
19824,11.6,6.965,
19834,11.23,6.987,
19846,10.96,7.016,
19857,10.67,7.052,
19867,10.36,7.067,
19878,10.09,7.096,
19889,9.73,7.118,
19900,9.38,7.132,
19910,9.12,7.147,
19921,8.78,7.161,
19932,8.34,7.169,
19943,8.03,7.183,
19953,7.75,7.205,
19964,7.59,7.19,
19976,7.2,7.19,
19986,6.69,7.19,
19997,5.37,7.198,
20007,4.05,7.183,
20019,3.13,7.176,
20029,1.82,7.169,
20040,0.69,7.154,
20050,-0.29,7.147,
20062,-1.44,7.125,
20073,-2.22,7.103,
20083,-2.56,7.081,
20094,-2.76,7.06,
20105,-2.9,7.031,
20116,-3.07,7.009,
20126,-3.32,6.972,
20137,-3.53,6.943,
20148,-3.66,6.907,
20159,-3.87,6.863,
20170,-4.12,6.834,
20180,-4.31,6.791,
20192,-4.49,6.747,
20202,-4.64,6.696,
20213,-4.84,6.66,
20224,-5.05,6.602,
20235,-5.25,6.558,
20245,-5.47,6.5,
20256,-5.63,6.45,
20268,-5.76,6.391,
20278,-5.92,6.333,
20289,-6.12,6.275,
20299,-6.3,6.159,
20311,-6.41,6.152,
20321,-6.51,6.086,
20332,-6.64,6.014,
20342,-6.76,5.948,
20354,-6.88,5.883,
20364,-6.98,5.81,
20375,-7.02,5.745,
20386,-7.11,5.672,
20397,-7.23,5.6,
20408,-7.34,5.527,
20418,-7.43,5.447,
20429,-7.47,5.382,
20440,-7.51,5.302,
20451,-7.55,5.229,
20461,-7.58,5.157,
20472,-7.62,5.077,
20484,-7.69,4.975,
20494,-7.76,4.924,
20505,-7.83,4.844,
20515,-7.88,4.764,
20527,-7.91,4.685,
20537,-7.95,4.605,
20548,-8.02,4.518,
20558,-8.06,4.445,
20570,-8.08,4.365,
20581,-8.09,4.285,
20591,-8.1,4.198,
20602,-8.1,4.125,
20613,-8.07,4.045,
20624,-8.05,3.958,
20634,-8.03,3.878,
20645,-8.04,3.791,
20656,-8.02,3.726,
20667,-7.99,3.646,
20677,-7.99,3.566,
20688,-7.95,3.486,
20700,-7.89,3.414,
20710,-7.87,3.319,
20721,-7.81,3.261,
20731,-7.73,3.188,
20743,-7.58,3.116,
20753,-7.5,3.043,
20764,-7.52,2.978,
20774,-7.49,2.905,
20786,-7.38,2.84,
20797,-7.23,2.767,
20807,-7.17,2.709,
20818,-7.08,2.644,
20829,-6.96,2.586,
20840,-6.85,2.52,
20850,-6.76,2.462,
20861,-6.65,2.404,
20872,-6.51,2.353,
20883,-6.42,2.273,
20894,-6.35,2.244,
20904,-6.26,2.193,
20916,-6.09,2.15,
20926,-5.95,2.099,
20937,-5.83,2.055,
20947,-5.72,2.005,
20959,-5.53,1.968,
20969,-5.39,1.925,
20980,-5.26,1.881,
20990,-5.09,1.852,
21002,-4.93,1.823,
21013,-4.76,1.787,
21023,-4.59,1.75,
21035,-4.42,1.729,
21045,-4.27,1.707,
21056,-4.09,1.685,
21066,-3.88,1.663,
21078,-3.69,1.641,
21088,-3.5,1.627,
21099,-3.3,1.612,
21110,-3.05,1.598,
21121,-2.78,1.583,
21132,-2.45,1.583,
21142,-2.13,1.576,
21153,-1.84,1.576,
21164,-1.35,1.569,
21175,-0.56,1.569,
21185,0.01,1.576,
21196,0.16,1.583,
21208,0.68,1.591,
21218,1.33,1.605,
21229,1.62,1.612,
21239,1.77,1.627,
21251,1.86,1.649,
21261,1.88,1.67,
21272,1.93,1.692,
21282,2.02,1.721,
21294,2.09,1.75,
21304,2.17,1.779,
21315,2.27,1.808,
21326,2.39,1.852,
21337,2.52,1.881,
21348,2.66,1.925,
21358,2.85,1.961,
21369,3.05,2.012,
21380,3.33,2.055,
21391,3.65,2.099,
21401,3.93,2.15,
21412,4.18,2.201,
21424,4.44,2.259,
21434,4.74,2.31,
21445,5.06,2.36,
21455,5.44,2.419,
21467,5.99,2.477,
21477,6.7,2.535,
21488,7.81,2.6,
21498,11.03,2.658,
21510,14.53,2.724,
21521,15.7,2.796,
21531,15.95,2.854,
21542,16.12,2.927,
21553,16.45,2.992,
21564,16.72,3.065,
21574,16.79,3.138,
21585,16.91,3.203,
21596,17.08,3.283,
21607,17.28,3.355,
21618,17.37,3.428,
21628,17.25,3.501,
21640,17.22,3.573,
21650,17.35,3.653,
21661,17.5,3.733,
21671,17.48,3.806,
21683,17.51,3.886,
21693,17.61,3.958,
21704,17.69,4.067,
21715,17.73,4.111,
21726,17.61,4.183,
21737,17.65,4.263,
21747,17.74,4.343,
21758,17.83,4.416,
21769,17.74,4.496,
21780,17.53,4.568,
21790,17.49,4.641,
21801,17.53,4.721,
21813,17.51,4.794,
21823,17.45,4.859,
21834,17.39,4.946,
21844,17.49,5.026,
21856,17.62,5.099,
21866,17.52,5.164,
21877,17.39,5.244,
21888,17.32,5.316,
21899,17.26,5.389,
21909,17.13,5.462,
21920,16.86,5.527,
21932,16.69,5.592,
21942,16.7,5.665,
21953,16.69,5.73,
21963,16.53,5.796,
21975,16.32,5.861,
21985,16.15,5.927,
21996,16.16,5.992,
22006,16.09,6.057,
22018,15.83,6.115,
22029,15.56,6.181,
22039,15.4,6.232,
22050,15.33,6.297,
22061,15.17,6.348,
22072,14.88,6.406,
22082,14.64,6.457,
22093,14.59,6.508,
22104,14.37,6.558,
22115,14.09,6.609,
22125,13.7,6.667,
22136,13.35,6.696,
22148,13.19,6.74,
22158,13.01,6.784,
22169,12.72,6.82,
22179,12.46,6.856,
22191,12.22,6.9,
22201,12.01,6.929,
22212,11.73,6.958,
22222,11.37,6.994,
22234,11.03,7.016,
22245,10.8,7.06,
22255,10.54,7.074,
22266,10.26,7.089,
22277,9.99,7.103,
22288,9.73,7.132,
22298,9.37,7.147,
22309,8.99,7.161,
22320,8.58,7.161,
22331,8.34,7.176,
22341,8.07,7.183,
22352,7.9,7.183,
22364,7.5,7.198,
22374,6.93,7.19,
22385,6,7.19,
22395,4.71,7.19,
22407,3.37,7.19,
22417,2.27,7.176,
22428,1.26,7.161,
22438,0.48,7.154,
22450,-0.39,7.139,
22461,-1.56,7.125,
22471,-2.22,7.096,
22482,-2.51,7.074,
22493,-2.75,7.052,
22504,-2.87,7.023,
22514,-3.11,6.994,
22525,-3.39,6.965,
22536,-3.57,6.936,
22547,-3.7,6.9,
22558,-3.86,6.863,
22568,-4.08,6.827,
22580,-4.22,6.784,
22590,-4.44,6.74,
22601,-4.61,6.704,
22611,-4.75,6.653,
22623,-4.97,6.609,
22633,-5.22,6.551,
22644,-5.39,6.486,
22654,-5.49,6.45,
22666,-5.59,6.399,
22677,-5.77,6.326,
22687,-6,6.275,
22699,-6.21,6.224,
22709,-6.33,6.152,
22720,-6.45,6.094,
22730,-6.57,6.028,
22742,-6.7,5.956,
22752,-6.83,5.89,
22763,-6.94,5.818,
22774,-7.05,5.752,
22785,-7.12,5.68,
22796,-7.21,5.607,
22806,-7.32,5.534,
22817,-7.41,5.462,
22828,-7.49,5.382,
22839,-7.55,5.309,
22849,-7.6,5.229,
22860,-7.66,5.157,
22871,-7.7,5.077,
22882,-7.77,4.997,
22893,-7.86,4.924,
22903,-7.92,4.837,
22915,-7.95,4.764,
22925,-7.96,4.685,
22936,-8.01,4.605,
22946,-8.04,4.518,
22958,-8.07,4.438,
22968,-8.1,4.358,
22979,-8.14,4.278,
22990,-8.14,4.198,
23001,-8.18,4.111,
23012,-8.18,4.06,
23022,-8.21,3.951,
23033,-8.21,3.871,
23044,-8.15,3.784,
23055,-8.12,3.704,
23065,-8.08,3.624,
23076,-7.99,3.544,
23088,-7.94,3.472,
23098,-7.87,3.399,
23109,-7.79,3.319,
23119,-7.76,3.247,
23131,-7.75,3.167,
23141,-7.7,3.101,
23152,-7.62,3.036,
23162,-7.52,2.956,
23174,-7.44,2.883,
23184,-7.33,2.818,
23195,-7.17,2.753,
23206,-7.11,2.687,
23217,-7.1,2.622,
23228,-7.02,2.557,
23238,-6.88,2.498,
23249,-6.75,2.44,
23260,-6.68,2.382,
23271,-6.54,2.331,
23281,-6.4,2.273,
23292,-6.3,2.222,
23304,-6.19,2.172,
23314,-6.05,2.121,
23325,-5.91,2.07,
23335,-5.81,2.034,
23347,-5.7,1.983,
23357,-5.51,1.954,
23368,-5.34,1.903,
23378,-5.2,1.867,
23390,-5.04,1.838,
23401,-4.86,1.801,
23411,-4.7,1.772,
23422,-4.55,1.743,
23433,-4.38,1.721,
23444,-4.18,1.692,
23454,-3.96,1.67,
23465,-3.79,1.649,
23476,-3.59,1.634,
23487,-3.43,1.62,
23497,-3.21,1.605,
23508,-2.91,1.591,
23520,-2.6,1.583,
23530,-2.3,1.576,
23541,-1.98,1.576,
23552,-1.61,1.569,
23563,-0.99,1.576,
23573,-0.23,1.576,
23584,0.07,1.591,
23595,0.31,1.591,
23606,0.98,1.591,
23617,1.43,1.605,
23627,1.65,1.62,
23639,1.77,1.641,
23649,1.84,1.656,
23660,1.87,1.685,
23670,1.93,1.714,
23682,2,1.729,
23692,2.1,1.758,
23703,2.17,1.794,
23714,2.27,1.83,
23725,2.41,1.867,
23736,2.54,1.896,
23746,2.69,1.932,
23757,2.89,1.976,
23768,3.09,2.019,
23779,3.32,2.063,
23789,3.61,2.114,
23800,3.93,2.164,
23811,4.24,2.215,
23822,4.55,2.266,
23833,4.91,2.324,
23843,5.25,2.375,
23855,5.67,2.433,
23865,6.23,2.491,
23876,6.94,2.52,
23886,8.08,2.615,
23898,11.42,2.666,
23908,14.94,2.731,
23919,15.86,2.803,
23930,16.04,2.869,
23941,16.16,2.934,
23952,16.43,3.014,
23962,16.69,3.079,
23973,16.7,3.152,
23984,16.71,3.225,
23995,16.92,3.29,
24005,17.09,3.341,
24016,17.17,3.443,
24028,17.07,3.508,
24038,17.12,3.581,
24049,17.34,3.661,
24059,17.47,3.733,
24071,17.41,3.82,
24081,17.38,3.893,
24092,17.62,3.958,
24102,17.83,4.045,
24114,17.88,4.125,
24125,17.79,4.198,
24135,17.8,4.278,
24146,17.87,4.351,
24157,17.94,4.43,
24168,17.94,4.51,
24178,17.81,4.583,
24189,17.8,4.663,
24200,17.8,4.743,
24211,17.73,4.823,
24221,17.67,4.895,
24232,17.58,4.968,
24244,17.58,5.04,
24254,17.58,5.12,
24265,17.44,5.193,
24275,17.28,5.266,
24287,17.33,5.338,
24297,17.39,5.411,
24308,17.31,5.484,
24318,17.1,5.556,
24330,16.97,5.622,
24341,16.97,5.694,
24351,16.9,5.767,
24363,16.7,5.832,
24373,16.4,5.898,
24384,16.26,5.963,
24394,16.21,6.028,
24406,16.03,6.086,
24416,15.72,6.144,
24427,15.53,6.203,
24438,15.4,6.275,
24449,15.3,6.326,
24460,15.1,6.384,
24470,14.82,6.435,
24481,14.65,6.486,
24492,14.62,6.537,
24503,14.34,6.595,
24513,14.03,6.638,
24524,13.63,6.682,
24536,13.42,6.733,
24546,13.29,6.776,
24557,13.05,6.813,
24567,12.69,6.849,
24579,12.36,6.893,
24589,12.13,6.929,
24600,11.91,6.704,
24610,11.55,6.98,
24622,11.21,7.016,
24632,10.97,7.038,
24643,10.67,7.067,
24654,10.36,7.081,
24665,9.99,7.125,
24676,9.69,7.125,
24686,9.39,7.139,
24697,9.07,7.154,
24708,8.67,7.161,
24719,8.4,7.176,
24729,8.23,7.183,
24740,7.74,7.19,
24752,7.3,7.198,
24762,7,7.198,
24773,6.26,7.19,
24783,4.75,7.19,
24795,3.58,7.19,
24805,2.5,7.176,
24816,1.47,7.169,
24826,0.44,7.147,
24838,-0.32,7.132,
24848,-1.4,7.125,
24859,-2.21,7.096,
24870,-2.53,7.081,
24881,-2.74,7.052,
24892,-2.86,7.031,
24902,-3.09,6.994,
24913,-3.37,6.958,
24924,-3.62,6.929,
24935,-3.75,6.893,
24945,-3.86,6.856,
24956,-4.1,6.82,
24968,-4.36,6.784,
24978,-4.57,6.74,
24989,-4.68,6.696,
24999,-4.76,6.646,
25011,-4.98,6.602,
25021,-5.21,6.551,
25032,-5.36,6.5,
25042,-5.49,6.442,
25054,-5.63,6.384,
25065,-5.84,6.333,
25075,-6.05,6.268,
25086,-6.21,6.232,
25097,-6.32,6.144,
25108,-6.47,6.079,
25118,-6.62,6.021,
25129,-6.76,5.948,
25140,-6.88,5.883,
25151,-6.95,5.81,
25162,-7.03,5.781,
25172,-7.15,5.672,
25184,-7.27,5.6,
25194,-7.36,5.52,
25205,-7.45,5.454,
25216,-7.52,5.375,
25227,-7.55,5.295,
25237,-7.61,5.222,
25248,-7.69,5.142,
25260,-7.77,5.07,
25270,-7.84,4.99,
25281,-7.87,4.91,
25291,-7.89,4.83,
25303,-7.93,4.75,
25313,-7.97,4.67,
