Millis,Load_Cell,Linear_Pot (scaled),Thermocouple
3106,0.01,6.769,
3118,0,6.776,
3129,-0.01,6.776,
3139,0.02,6.776,
3150,0.03,6.776,
3161,0.01,6.769,
3172,0.01,6.776,
3182,0.01,6.769,
3193,0.01,6.769,
3204,0.02,6.776,
3215,0.02,6.769,
3225,0.01,6.776,
3236,-0.01,6.769,
3248,0.01,6.769,
3258,0.03,6.762,
3269,0.02,6.776,
3279,0.01,6.769,
3291,0.01,6.769,
3301,0,6.776,
3312,0,6.769,
3322,0.01,6.769,
3334,0,6.762,
3345,0.01,6.769,
3355,0.01,6.769,
3366,0.01,6.776,
3377,-0.01,6.769,
3388,0.01,6.769,
3398,0,6.769,
3409,0,6.776,
3420,0,6.776,
3431,0.01,6.769,
3442,0,6.769,
3452,0,6.769,
3464,0.02,6.776,
3474,0,6.769,
3485,-0.01,6.769,
3495,0,6.769,
3507,0,6.769,
3517,0.01,6.776,
3528,0.02,6.776,
3538,-0.01,6.776,
3550,-0.01,6.776,
3561,0.01,6.776,
3571,0.03,6.769,
3582,0.02,6.769,
3593,0.01,6.769,
3604,0.02,6.776,
3614,0.02,6.762,
3625,0,6.762,
3636,0.01,6.769,
3647,-0.01,6.769,
3658,0,6.762,
3668,0.01,6.769,
3680,0.02,6.769,
3690,-0.01,6.776,
3701,-0.01,6.769,
3712,-0.01,6.776,
3723,-0.01,6.769,
3733,-0.01,6.769,
3744,0.01,6.769,
3756,0.02,6.776,
3766,-0.01,6.776,
3777,-0.01,6.769,
3787,0,6.776,
3799,0,6.769,
3809,0.01,6.769,
3820,0.01,6.776,
3830,0.01,6.762,
3842,0.02,6.769,
3853,0.01,6.769,
3863,0.02,6.769,
3874,0.02,6.776,
3885,0.01,6.769,
3896,0,6.776,
3906,0.01,6.769,
3917,0.01,6.776,
3928,0,6.762,
3939,0,6.769,
3950,-0.01,6.769,
3960,0,6.769,
3972,-0.01,6.769,
3982,0.01,6.769,
3993,0.02,6.769,
4003,0,6.776,
4015,0.02,6.769,
4025,0.01,6.769,
4036,-0.01,6.769,
4047,0.01,6.769,
4058,0.01,6.769,
4069,0,6.776,
4079,-0.01,6.776,
4090,0.02,6.762,
4101,0.04,6.762,
4112,0.02,6.776,
4122,0.01,6.769,
4133,0.03,6.769,
4145,0.01,6.769,
4155,0,6.769,
4166,0,6.769,
4176,0.01,6.769,
4188,-0.01,6.776,
4198,-0.01,6.776,
4209,0.01,6.776,
4219,0.01,6.776,
4231,-0.01,6.769,
4241,0,6.776,
4252,0.01,6.776,
4263,0.01,6.769,
4274,0.01,6.769,
4285,0,6.769,
4295,0.01,6.769,
4306,0.02,6.769,
4317,0,6.776,
4328,0.01,6.769,
4338,0.01,6.762,
4349,0,6.769,
4361,0.01,6.776,
4371,0.01,6.769,
4382,0.02,6.769,
4392,0,6.776,
4404,0,6.776,
4414,0.01,6.776,
4425,0.02,6.776,
4435,0.02,6.769,
4447,0.01,6.776,
4458,0,6.769,
4468,0,6.776,
4480,0.01,6.769,
4490,0.01,6.769,
4501,0.02,6.769,
4511,0,6.769,
4523,0,6.769,
4533,0,6.769,
4544,-0.01,6.769,
4555,0,6.776,
4566,0,6.769,
4577,-0.01,6.776,
4587,0.01,6.776,
4598,0.01,6.776,
4609,0,6.769,
4620,0.02,6.776,
4630,0.01,6.776,
4641,0.02,6.769,
4652,0.02,6.776,
4663,-0.02,6.769,
4674,0,6.776,
4684,0.01,6.776,
4696,0,6.769,
4706,-0.01,6.769,
4717,0,6.776,
4727,0,6.769,
4739,0.01,6.776,
4749,0.02,6.769,
4760,0.03,6.776,
4771,0,6.769,
4782,0,6.769,
4793,0,6.769,
4803,0,6.769,
4814,0,6.776,
4825,0,6.776,
4836,-0.01,6.769,
4846,-0.01,6.776,
4857,0,6.769,
4869,0,6.769,
4879,0.01,6.769,
4890,0,6.769,
4900,0,6.776,
4912,0,6.776,
4922,0,6.769,
4933,0,6.762,
4943,0.02,6.769,
4955,0.01,6.776,
4966,0.01,6.776,
4976,0.02,6.769,
4987,0.01,6.769,
4998,0,6.769,
5009,0.03,6.769,
5019,0.03,6.769,
5030,0.01,6.769,
5041,0.01,6.776,
5052,0,6.769,
5063,0,6.769,
5073,-0.01,6.776,
5085,-0.03,6.769,
5095,-0.02,6.769,
5106,-0.01,6.769,
5116,0.01,6.769,
5128,0.02,6.769,
5138,0.02,6.769,
5149,0.03,6.762,
5159,0.04,6.769,
5171,0.01,6.776,
5182,0,6.769,
5192,0,6.776,
5203,0,6.769,
5214,-0.01,6.776,
5225,0.01,6.769,
5235,0.02,6.762,
5246,0.01,6.776,
5257,0.01,6.776,
5268,0.02,6.769,
5279,0.02,6.769,
5289,0,6.776,
5301,-0.01,6.776,
5311,0,6.776,
5322,0.01,6.769,
5332,0.02,6.769,
5344,0.01,6.776,
5354,0,6.769,
5365,0,6.776,
5377,0,6.776,
5387,0.02,6.776,
5398,0.04,6.776,
5408,0.03,6.769,
5420,0,6.776,
5430,0,6.769,
5441,0,6.776,
5451,-0.02,6.769,
5463,-0.01,6.769,
5474,0.02,6.769,
5484,0,6.769,
5495,-0.01,6.776,
5506,0.01,6.769,
5517,0.02,6.776,
5527,0.02,6.769,
5538,0,6.776,
5549,0.02,6.776,
5560,0.02,6.776,
5570,0,6.755,
5581,0,6.776,
5593,0,6.776,
5603,0.02,6.776,
5614,0.01,6.776,
5624,0,6.769,
5636,0,6.776,
5646,0,6.776,
5657,0,6.776,
5667,0.01,6.769,
5679,0.01,6.769,
5690,0.02,6.776,
5700,0.01,6.769,
5711,0.02,6.776,
5722,0,6.769,
5733,0.01,6.769,
5743,0.01,6.762,
5754,0,6.769,
5765,0.01,6.776,
5776,0.01,6.769,
5787,0,6.769,
5797,0.01,6.769,
5809,-0.01,6.769,
5819,-0.02,6.776,
5830,0,6.762,
5840,0.02,6.769,
5852,0.03,6.769,
5862,0.02,6.769,
5873,0.03,6.769,
5884,0.01,6.776,
5895,0,6.769,
5906,0.01,6.769,
5916,0.01,6.769,
5927,0.02,6.776,
5938,0,6.769,
5949,-0.01,6.776,
5959,0,6.776,
5970,0.03,6.769,
