Millis,Load_Cell,Linear_Pot,Thermocouple
93,-0.01,893
104,-0.03,893
115,-0.00,892
125,0.01,893
137,-0.01,893
148,-0.02,893
158,-0.02,893
169,-0.02,892
180,-0.01,893
191,-0.02,892
201,-0.01,893
212,-0.00,892
223,-0.00,894
234,0.01,893
245,0.00,893
256,0.01,892
267,0.01,893
277,-0.01,893
288,-0.01,892
299,0.00,893
310,-0.01,893
320,-0.01,893
331,-0.01,893
343,-0.01,892
353,-0.01,893
364,0.01,893
374,-0.00,893
386,0.01,893
396,0.00,894
407,-0.01,892
417,-0.00,893
429,0.01,893
440,-0.00,893
450,-0.00,894
461,-0.01,893
472,-0.01,893
483,-0.01,892
493,-0.02,893
504,-0.02,893
515,-0.01,893
526,-0.00,894
537,-0.00,893
547,0.00,893
559,0.00,893
569,-0.01,893
580,-0.00,893
590,-0.00,894
602,-0.00,893
612,-0.01,893
623,-0.02,893
633,-0.00,893
645,0.00,893
656,0.02,893
666,-0.00,893
677,-0.00,893
688,-0.00,893
699,-0.01,893
709,0.00,893
720,0.00,893
731,0.01,892
742,0.03,893
753,0.03,893
763,0.02,893
775,0.00,893
785,0.01,893
796,-0.00,893
806,-0.01,893
818,-0.00,892
828,-0.00,893
839,0.00,893
850,0.01,893
861,-0.01,892
872,-0.01,893
882,-0.01,893
893,0.00,893
904,0.01,893
915,0.00,894
925,-0.00,893
936,0.01,893
948,0.00,893
958,-0.01,893
969,-0.01,892
979,0.00,893
991,-0.02,893
1001,-0.02,893
1012,-0.02,893
1022,-0.02,893
1034,0.01,893
1045,-0.01,893
1055,-0.01,893
1067,-0.00,892
1077,0.00,893
1088,0.01,893
1098,0.00,893
1110,0.01,893
1120,0.01,893
1131,0.01,892
1141,-0.01,893
1153,-0.01,894
1164,0.01,893
1174,-0.00,893
1185,-0.00,893
1196,-0.01,893
1207,-0.01,893
1217,-0.02,893
1228,-0.01,893
1239,-0.00,894
1250,-0.01,894
1261,-0.02,892
1271,-0.02,893
1283,-0.01,893
1293,-0.01,893
1304,-0.01,893
1314,-0.02,893
1326,-0.00,893
1336,0.01,893
1347,-0.01,893
1358,-0.01,893
1369,-0.01,893
1380,-0.02,892
1390,-0.02,893
1401,-0.01,892
1412,0.00,893
1423,0.00,893
1433,0.01,892
1444,0.02,893
1456,0.01,893
1466,-0.02,892
1477,-0.02,892
1487,-0.00,893
1499,-0.01,893
1509,0.00,892
1520,0.00,893
1530,0.00,893
1542,0.01,893
1553,0.03,893
1563,-0.00,893
1574,-0.02,893
1585,0.00,893
1596,-0.01,893
1606,-0.03,893
1617,-0.02,893
1628,0.01,894
1639,0.02,894
1649,0.01,893
1660,0.00,892
1672,0.02,893
1682,0.01,893
1693,-0.00,893
1703,-0.02,893
1715,-0.02,893
1725,-0.01,893
1736,0.00,893
1746,-0.01,893
1758,-0.01,893
1769,-0.01,893
1779,-0.00,893
1790,0.00,893
1801,-0.01,893
1812,-0.00,892
1822,0.01,893
1833,0.00,893
1844,-0.00,893
1855,-0.00,893
1866,0.01,893
1876,0.00,893
1888,0.00,893
1898,0.00,893
1909,-0.01,893
1920,0.00,894
1931,0.00,893
1941,-0.02,893
1952,-0.02,893
1964,-0.01,892
1974,-0.00,893
1985,-0.01,893
1995,-0.01,894
2007,0.00,892
2017,0.00,893
2028,0.01,894
2038,0.01,892
2050,-0.01,893
2061,-0.02,893
2071,0.00,893
2082,0.00,893
2093,-0.00,893
2104,0.01,893
2114,0.00,892
2125,0.00,893
2136,-0.03,893
2147,-0.02,893
2158,-0.01,893
2168,-0.01,894
2180,-0.02,893
2190,-0.01,894
2201,0.01,893
2211,0.02,892
2223,0.04,893
